학과,과목분반,과목명,1학년,2학년,3학년 ,4학년,전학년
한국사회문화연계전공,KSC1001-01,대학생활을위한학문적읽기,_,_,_,_,_
한국사회문화연계전공,KSC1002-01,대학생활을위한비판적쓰기,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
한국사회문화연계전공,KSC1003-01,대학생활을위한전략적듣기,_,_,_,_,_
한국사회문화연계전공,KSC1004-01,대학생활을위한논리적말하기,_,_,_,_,_
한국사회문화연계전공,KSC2001-01,한국문화이해를위한학문적읽기,_,_,_,_,_
한국사회문화연계전공,KSC2002-01,한국문화이해를위한비판적쓰기,_,_,_,_,_
한국사회문화연계전공,KSC2003-01,한국문화이해를위한전략적듣기,_,_,_,_,_
한국사회문화연계전공,KSC2004-01,한국문화이해를위한논리적말하기,_,_,_,_,_
한국사회문화연계전공,KSC3001-01,한국사회이해를위한학문적읽기,_,_,_,_,_
한국사회문화연계전공,KSC3002-01,한국사회이해를위한비판적쓰기,_,_,_,_,_
한국사회문화연계전공,KSC3003-01,한국사회이해를위한전략적듣기,_,_,_,_,_
한국사회문화연계전공,KSC3004-01,한국사회이해를위한논리적말하기,_,_,_,_,_
한국사회문화연계전공,KSC4006-01,한국정치의이해,1 : 0.07,신청없음,신청없음,신청없음,1 : 0.03
한국사회문화연계전공,KSC4007-01,한국사회변동,1 : 0.07,신청없음,신청없음,1 : 0.05,1 : 0.08
한국사회문화연계전공,KSC4009-01,한국전통문화의이해,1 : 0.07,1 : 0.03,신청없음,1 : 0.16,1 : 0.20
한국사회문화연계전공,KSC4010-01,남북한관계론,1 : 0.07,신청없음,신청없음,1 : 0.05,1 : 0.08
교양학부,LAU4003-01,언어의이해,1 : 1.20,1 : 1.10,1 : 1.90,1 : 3.00,1 : 1.89
교양학부,LAU4006-01,문학과판타지,1 : 0.80,1 : 1.09,1 : 0.30,1 : 0.29,1 : 0.69
교양학부,LAU4008-01,다매체시대의고전읽기,1 : 0.60,1 : 0.67,1 : 0.29,1 : 0.25,1 : 0.57
교양학부,LAU4015-01,서양미술의역사와감상,1 : 0.34,1 : 0.35,1 : 0.24,1 : 0.26,1 : 0.53
교양학부,LAU4022-01,서양대중음악의이해,1 : 1.40,1 : 1.47,1 : 0.80,1 : 0.61,1 : 1.10
교양학부,LAU4031-01,영화로보는복식사(복식사와영화의상),1 : 1.00,1 : 1.40,1 : 0.67,1 : 1.10,1 : 1.13
교양학부,LAU4036-01,드로잉-선을통한사고와표현,1 : 7.10,1 : 5.50,1 : 4.70,1 : 8.80,1 : 6.53
교양학부,LAU4037-01,동양화그리기,1 : 3.80,1 : 9.00,1 : 6.40,1 : 15.00,1 : 8.55
교양학부,LAU4052-01,아시아의미술과문명,1 : 0.10,1 : 0.42,1 : 0.29,1 : 0.72,1 : 0.83
교양학부,LCS2001-01,독일언어와문화I,1 : 0.60,1 : 0.50,1 : 0.27,1 : 0.30,1 : 0.77
교양학부,LCS2001-02,독일언어와문화I,1 : 0.67,1 : 0.33,1 : 0.08,신청없음,1 : 0.53
교양학부,LCS2001-03,독일언어와문화I,1 : 0.27,1 : 0.19,신청없음,신청없음,1 : 0.27
교양학부,LCS2001-04,독일언어와문화I,1 : 0.73,1 : 0.07,신청없음,1 : 0.11,1 : 0.47
교양학부,LCS2001-05,독일언어와문화I,1 : 0.27,1 : 0.19,1 : 0.05,1 : 0.05,1 : 0.33
교양학부,LCS2002-01,독일언어와문화II,1 : 0.40,1 : 0.11,1 : 0.10,1 : 0.05,1 : 0.37
교양학부,LCS2002-02,독일언어와문화II,1 : 0.47,1 : 0.33,1 : 0.07,1 : 0.19,1 : 0.57
교양학부,LCS2003-01,프랑스언어와문화I,1 : 0.93,1 : 1.50,신청없음,1 : 0.40,1 : 0.90
교양학부,LCS2003-02,프랑스언어와문화I,1 : 0.67,1 : 0.80,1 : 0.71,1 : 0.43,1 : 0.87
교양학부,LCS2003-03,프랑스언어와문화I,1 : 0.73,1 : 0.56,1 : 0.22,신청없음,1 : 0.60
교양학부,LCS2003-04,프랑스언어와문화I,1 : 0.60,1 : 0.73,1 : 0.75,1 : 0.29,1 : 0.83
교양학부,LCS2003-05,프랑스언어와문화I,1 : 0.40,1 : 0.14,1 : 0.24,1 : 0.11,1 : 0.47
교양학부,LCS2004-01,프랑스언어와문화II,1 : 1.27,1 : 0.30,1 : 0.17,1 : 0.20,1 : 0.77
교양학부,LCS2004-02,프랑스언어와문화II,1 : 0.47,신청없음,신청없음,1 : 0.07,1 : 0.26
교양학부,LCS2005-02,중국언어와문화I,1 : 0.60,1 : 0.18,신청없음,신청없음,1 : 0.37
교양학부,LCS2005-03,중국언어와문화I,1 : 0.47,1 : 0.23,신청없음,1 : 0.10,1 : 0.40
교양학부,LCS2005-04,중국언어와문화I,1 : 0.27,1 : 0.19,1 : 0.06,신청없음,1 : 0.27
교양학부,LCS2005-05,중국언어와문화I,1 : 0.67,1 : 0.80,1 : 0.29,1 : 0.20,1 : 0.73
교양학부,LCS2006-01,중국언어와문화II,1 : 1.40,1 : 0.10,1 : 0.21,1 : 0.06,1 : 0.63
교양학부,LCS2007-01,일본언어와문화I,1 : 2.21,1 : 2.44,1 : 3.50,1 : 2.00,1 : 2.43
교양학부,LCS2007-02,일본언어와문화I,1 : 0.21,1 : 0.20,1 : 0.05,1 : 0.23,1 : 0.43
교양학부,LCS2007-03,일본언어와문화I,1 : 1.64,1 : 0.22,1 : 0.27,1 : 0.36,1 : 1.07
교양학부,LCS2007-04,일본언어와문화I,1 : 0.71,1 : 0.31,1 : 0.38,1 : 0.27,1 : 0.73
