과목코드+분반코드,과목명,전체,1학년,2학년,3학년,4학년
LAU4014-01,한국미술의역사와감상,0.33 : 1,0.20 : 1,0.11 : 1,0.15 : 1,0.16 : 1
LAU4015-01,서양미술의역사와감상,1.48 : 1,1.65 : 1,1.65 : 1,1.10 : 1,1.50 : 1
LAU4021-01,서양음악의역사와감상,1.75 : 1,1.70 : 1,1.80 : 1,0.80 : 1,2.25 : 1
LAU4022-01,서양대중음악의이해,0.83 : 1,0.80 : 1,0.33 : 1,0.33 : 1,0.68 : 1
LAU4036-01,드로잉-선을통한사고와표현,2.90 : 1,1.00 : 1,쿼터없음,쿼터없음,쿼터없음
LAU4037-01,동양화그리기,5.20 : 1,1.00 : 1,4.20 : 1,5.40 : 1,10.20 : 1
LAU4052-01,아시아의미술과문명,0.43 : 1,0.10 : 1,0.11 : 1,0.07 : 1,0.34 : 1
LCS2001-01,독일언어와문화I,0.03 : 1,0.05 : 1,0.03 : 1,신청없음,신청없음
LCS2001-02,독일언어와문화I,0.27 : 1,0.45 : 1,0.13 : 1,0.03 : 1,0.04 : 1
LCS2001-03,독일언어와문화I,0.17 : 1,0.30 : 1,0.06 : 1,0.02 : 1,0.02 : 1
LCS2001-04,독일언어와문화I,0.07 : 1,0.20 : 1,신청없음,신청없음,신청없음
LCS2001-05,독일언어와문화I,0.02 : 1,신청없음,신청없음,신청없음,0.02 : 1
LCS2002-01,독일언어와문화II,0.12 : 1,0.05 : 1,0.13 : 1,0.02 : 1,신청없음
LCS2002-02,독일언어와문화II,0.27 : 1,0.60 : 1,0.11 : 1,신청없음,0.02 : 1
LCS2003-01,프랑스언어와문화I,0.20 : 1,0.33 : 1,신청없음,신청없음,쿼터없음
LCS2003-02,프랑스언어와문화I,0.37 : 1,0.53 : 1,0.18 : 1,신청없음,쿼터없음
LCS2003-03,프랑스언어와문화I,0.33 : 1,0.53 : 1,0.06 : 1,0.05 : 1,쿼터없음
LCS2003-04,프랑스언어와문화I,0.07 : 1,0.07 : 1,신청없음,0.03 : 1,쿼터없음
LCS2003-05,프랑스언어와문화I,0.27 : 1,0.27 : 1,0.10 : 1,0.04 : 1,쿼터없음
LCS2004-01,프랑스언어와문화II,0.13 : 1,0.13 : 1,0.09 : 1,신청없음,쿼터없음
