과목코드+분반코드,과목명,전체,1학년,2학년,3학년,4학년
COR1014-02,한국어글쓰기,0.10 : 1,0.20 : 1,신청없음,신청없음,쿼터없음
COR1014-03,한국어글쓰기,0.40 : 1,0.70 : 1,신청없음,0.08 : 1,쿼터없음
COR1014-04,한국어글쓰기,1.05 : 1,1.90 : 1,0.40 : 1,신청없음,쿼터없음
COR1014-05,한국어글쓰기,0.30 : 1,0.60 : 1,신청없음,신청없음,쿼터없음
COR1014-06,한국어글쓰기,0.35 : 1,0.60 : 1,0.11 : 1,신청없음,쿼터없음
COR1014-07,한국어글쓰기,0.55 : 1,0.80 : 1,0.14 : 1,0.18 : 1,쿼터없음
COR1014-08,한국어글쓰기,1.60 : 1,1.60 : 1,2.40 : 1,0.40 : 1,쿼터없음
COR1015-01,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-02,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-03,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-04,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-05,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-11,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-14,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-21,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-30,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-31,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-32,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-34,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-35,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-36,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-37,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-39,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-41,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-43,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-46,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-51,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-52,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-53,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-54,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-58,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
COR1015-73,알바트로스세미나,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
CSE2003-01,기초공학설계,0.60 : 1,0.25 : 1,쿼터없음,쿼터없음,쿼터없음
CSE2035-01,C프로그래밍,0.80 : 1,0.70 : 1,쿼터없음,쿼터없음,쿼터없음
CSE2035-02,C프로그래밍,0.70 : 1,0.58 : 1,쿼터없음,쿼터없음,쿼터없음
CSE2035-03,C프로그래밍,1.08 : 1,0.90 : 1,쿼터없음,쿼터없음,쿼터없음
CSE3006-01,이산구조,1.25 : 1,0.80 : 1,쿼터없음,쿼터없음,쿼터없음
CSE3006-02,이산구조,0.78 : 1,0.58 : 1,쿼터없음,쿼터없음,쿼터없음
CSE3013-01,컴퓨터공학설계및실험I,1.33 : 1,쿼터없음,0.63 : 1,쿼터없음,쿼터없음
CSE3015-01,디지털회로개론,1.68 : 1,쿼터없음,1.20 : 1,쿼터없음,쿼터없음
CSE3015-02,디지털회로개론,1.73 : 1,쿼터없음,1.18 : 1,쿼터없음,쿼터없음
CSE3016-01,컴퓨터공학실험II,1.43 : 1,쿼터없음,1.11 : 1,쿼터없음,쿼터없음
CSE3016-02,컴퓨터공학실험II,1.54 : 1,쿼터없음,1.25 : 1,쿼터없음,쿼터없음
CSE3016-03,컴퓨터공학실험II,0.25 : 1,쿼터없음,0.11 : 1,쿼터없음,쿼터없음
CSE3016-04,컴퓨터공학실험II,1.68 : 1,쿼터없음,1.32 : 1,쿼터없음,쿼터없음
CSE3016-05,컴퓨터공학실험II,0.79 : 1,쿼터없음,0.29 : 1,쿼터없음,쿼터없음
CSE3040-01,JAVA언어,1.43 : 1,쿼터없음,0.71 : 1,쿼터없음,쿼터없음
CSE3040-02,JAVA언어,1.40 : 1,쿼터없음,0.51 : 1,쿼터없음,쿼터없음
CSE3080-01,자료구조,0.23 : 1,쿼터없음,0.17 : 1,쿼터없음,쿼터없음
CSE3080-02,자료구조,0.50 : 1,쿼터없음,0.35 : 1,쿼터없음,쿼터없음
CSE3081-01,알고리즘설계와분석,1.78 : 1,쿼터없음,0.68 : 1,쿼터없음,쿼터없음
CSE3081-02,알고리즘설계와분석,1.43 : 1,쿼터없음,0.77 : 1,쿼터없음,쿼터없음
CSE3302-01,연구프로젝트Ⅱ,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
CSE3302-02,연구프로젝트Ⅱ,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
CSE3302-03,연구프로젝트Ⅱ,쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
CSE4011-01,임베디드컴퓨터구조,0.71 : 1,쿼터없음,쿼터없음,0.67 : 1,0.56 : 1
CSE4060-01,데이터통신개론,0.31 : 1,쿼터없음,쿼터없음,0.32 : 1,0.17 : 1
CSE4070-01,운영체제,0.69 : 1,쿼터없음,쿼터없음,0.80 : 1,0.47 : 1
CSE4070-02,운영체제,0.46 : 1,쿼터없음,쿼터없음,0.53 : 1,0.25 : 1
CSE4085-01,자동장치이론,0.23 : 1,쿼터없음,쿼터없음,0.15 : 1,0.16 : 1
CSE4095-01,파일처리,0.34 : 1,쿼터없음,쿼터없음,0.33 : 1,0.20 : 1
CSE4120-01,기초컴파일러구성,0.15 : 1,쿼터없음,쿼터없음,0.08 : 1,0.11 : 1
CSE4152-01,고급소프트웨어실습I,1.00 : 1,쿼터없음,쿼터없음,0.68 : 1,1.00 : 1
CSE4152-02,고급소프트웨어실습I,0.23 : 1,쿼터없음,쿼터없음,0.12 : 1,0.15 : 1
CSE4152-03,고급소프트웨어실습I,1.70 : 1,쿼터없음,쿼터없음,1.52 : 1,2.60 : 1
CSE4152-04,고급소프트웨어실습I,1.10 : 1,쿼터없음,쿼터없음,0.72 : 1,1.25 : 1
CSE4177-01,인터넷프로그래밍및응용,0.20 : 1,쿼터없음,쿼터없음,0.03 : 1,쿼터없음
CSE4178-01,기초SOC설계,0.37 : 1,쿼터없음,쿼터없음,0.40 : 1,0.32 : 1
CSE4181-01,SW경제성분석및창업,0.24 : 1,쿼터없음,쿼터없음,0.14 : 1,0.18 : 1
CSE4185-01,기초인공지능,0.83 : 1,쿼터없음,쿼터없음,0.51 : 1,쿼터없음
CSE4186-01,캡스톤디자인I,0.11 : 1,쿼터없음,쿼터없음,신청없음,0.11 : 1
CSE4187-01,캡스톤디자인II,0.90 : 1,쿼터없음,쿼터없음,쿼터없음,0.90 : 1
CSE4187-02,캡스톤디자인II,0.73 : 1,쿼터없음,쿼터없음,쿼터없음,0.73 : 1
CSEG311-01,대화형사용자인터페이스개론,1.05 : 1,쿼터없음,쿼터없음,쿼터없음,0.85 : 1
CSEG414-01,병렬분산컴퓨팅,0.80 : 1,쿼터없음,쿼터없음,쿼터없음,0.80 : 1
CSEG437-01,수치컴퓨팅및GPU프로그래밍,0.70 : 1,쿼터없음,쿼터없음,쿼터없음,0.65 : 1
CSEG601-01,공간데이터관리및응용,0.15 : 1,쿼터없음,쿼터없음,신청없음,0.15 : 1
CSEQ982-01,컴퓨터학교과교재연구및지도법,0.03 : 1,신청없음,신청없음,신청없음,0.03 : 1
CSEQ983-01,컴퓨터학교과논리및논술,0.08 : 1,0.10 : 1,신청없음,0.03 : 1,0.03 : 1
CSW2020-01,기초Java언어,0.53 : 1,신청없음,0.23 : 1,0.40 : 1,0.28 : 1
CSW2020-02,기초Java언어,0.74 : 1,0.10 : 1,0.34 : 1,0.59 : 1,0.50 : 1
CSW2030-01,자료구조입문,1.29 : 1,신청없음,0.50 : 1,1.17 : 1,1.70 : 1
CSW2040-01,정보사회와인문학,0.35 : 1,신청없음,0.10 : 1,0.11 : 1,0.28 : 1
CSW2050-01,코퍼스언어학,0.50 : 1,0.20 : 1,0.22 : 1,0.24 : 1,0.35 : 1
CSW2060-01,인문콘텐츠학,0.25 : 1,신청없음,신청없음,0.08 : 1,0.21 : 1
CSW3030-01,데이터베이스입문,1.04 : 1,신청없음,0.03 : 1,0.59 : 1,1.08 : 1
CSW4010-01,융합소프트웨어종합설계,0.46 : 1,쿼터없음,쿼터없음,0.08 : 1,0.44 : 1
ECO2001-01,경제학원론I,1.14 : 1,1.26 : 1,0.90 : 1,1.00 : 1,1.10 : 1
ECO2001-02,경제학원론I,0.73 : 1,0.76 : 1,0.38 : 1,0.36 : 1,0.18 : 1
ECO2001-03,경제학원론I,0.82 : 1,0.76 : 1,0.52 : 1,0.50 : 1,0.28 : 1
ECO2001-04,경제학원론I,0.98 : 1,1.00 : 1,1.00 : 1,0.80 : 1,0.83 : 1
ECO2002-01,경제학원론II,0.29 : 1,0.26 : 1,쿼터없음,쿼터없음,쿼터없음
ECO2002-02,경제학원론II,0.47 : 1,0.35 : 1,0.37 : 1,0.07 : 1,0.05 : 1
ECO2002-03,경제학원론II,0.43 : 1,0.33 : 1,0.22 : 1,0.09 : 1,0.10 : 1
ECO2002-04,경제학원론II,0.54 : 1,0.36 : 1,0.37 : 1,0.17 : 1,0.07 : 1
ECO2002-05,경제학원론II,0.74 : 1,0.69 : 1,쿼터없음,쿼터없음,쿼터없음
ECO2002-06,경제학원론II,1.15 : 1,0.44 : 1,0.95 : 1,2.54 : 1,0.70 : 1
ECO2003-01,경제수리기초,0.21 : 1,0.22 : 1,0.10 : 1,0.03 : 1,0.01 : 1
ECO2003-02,경제수리기초,0.62 : 1,0.30 : 1,0.37 : 1,0.35 : 1,0.12 : 1
ECO2004-01,경제통계학,0.61 : 1,1.85 : 1,0.34 : 1,0.09 : 1,0.03 : 1
ECO2004-02,경제통계학,0.95 : 1,3.00 : 1,0.56 : 1,0.07 : 1,0.08 : 1
ECO2004-03,경제통계학,0.39 : 1,0.33 : 1,쿼터없음,쿼터없음,쿼터없음
ECO2005-01,경제정보분석,0.33 : 1,쿼터없음,0.20 : 1,0.15 : 1,쿼터없음
ECO2005-02,경제정보분석,0.53 : 1,쿼터없음,0.20 : 1,0.23 : 1,쿼터없음
ECO2006-01,미시경제학I,0.34 : 1,0.80 : 1,0.20 : 1,0.19 : 1,0.04 : 1
ECO2006-02,미시경제학I,1.08 : 1,2.20 : 1,0.64 : 1,0.78 : 1,1.00 : 1
ECO2006-03,미시경제학I,0.98 : 1,1.60 : 1,0.60 : 1,0.63 : 1,0.76 : 1
ECO2007-01,거시경제학I,1.40 : 1,0.20 : 1,1.15 : 1,1.33 : 1,4.60 : 1
ECO2007-02,거시경제학I,0.16 : 1,신청없음,0.15 : 1,0.08 : 1,신청없음
ECO2007-03,거시경제학I,0.67 : 1,0.20 : 1,0.50 : 1,0.38 : 1,0.12 : 1
ECO2008-01,수리경제학,0.59 : 1,쿼터없음,0.63 : 1,0.34 : 1,0.32 : 1
ECO2009-01,계량경제학I,0.44 : 1,쿼터없음,0.23 : 1,0.27 : 1,0.22 : 1
ECO2009-02,계량경제학I,1.15 : 1,쿼터없음,1.00 : 1,0.83 : 1,1.75 : 1
ECO2009-03,계량경제학I,1.13 : 1,쿼터없음,0.83 : 1,0.49 : 1,1.32 : 1
ECO3001-01,산업경제학,1.03 : 1,쿼터없음,0.70 : 1,0.88 : 1,1.06 : 1
ECO3005-01,환경경제학,0.83 : 1,쿼터없음,신청없음,0.46 : 1,0.75 : 1
ECO3008-01,금융경제학,1.15 : 1,쿼터없음,1.20 : 1,1.10 : 1,1.18 : 1
ECO3010-01,국제무역론,0.80 : 1,쿼터없음,1.50 : 1,0.63 : 1,0.58 : 1
ECO3011-01,국제금융론,2.43 : 1,쿼터없음,2.30 : 1,2.03 : 1,2.88 : 1
ECO3017-01,국제경제학,1.20 : 1,쿼터없음,1.20 : 1,1.20 : 1,1.20 : 1
ECO4001-01,미시경제학II,0.63 : 1,쿼터없음,0.25 : 1,0.36 : 1,0.47 : 1
ECO4002-01,거시경제학II,0.34 : 1,쿼터없음,0.40 : 1,0.24 : 1,0.23 : 1
ECO4004-01,경제수리통계학,1.01 : 1,쿼터없음,2.00 : 1,1.03 : 1,0.86 : 1
ECO4005-01,게임이론,1.34 : 1,쿼터없음,1.80 : 1,0.90 : 1,1.69 : 1
ECO4006-01,정보경제학,0.87 : 1,쿼터없음,0.10 : 1,0.54 : 1,0.81 : 1
ECO4007-01,경쟁법과산업규제의경제학,0.27 : 1,쿼터없음,0.20 : 1,0.12 : 1,0.22 : 1
ECO4008-01,금융정책,0.53 : 1,쿼터없음,신청없음,0.43 : 1,0.40 : 1
ECO4009-01,파생상품시장,1.17 : 1,쿼터없음,0.87 : 1,0.93 : 1,1.39 : 1
ECO4010-01,국제금융시장,0.88 : 1,쿼터없음,0.60 : 1,0.74 : 1,0.77 : 1
ECO4018-01,경제학특강1,1.31 : 1,쿼터없음,4.20 : 1,1.06 : 1,1.18 : 1
ECO4019-01,다국적기업의경제학,1.05 : 1,쿼터없음,0.60 : 1,0.53 : 1,1.07 : 1
ECO4021-01,경제학특강4,0.37 : 1,쿼터없음,0.20 : 1,0.16 : 1,0.27 : 1
ECO4022-01,경제학특강5,0.33 : 1,쿼터없음,쿼터없음,0.20 : 1,0.23 : 1
ECO4030-01,행동경제학,1.31 : 1,쿼터없음,1.10 : 1,1.07 : 1,1.63 : 1
ECO4031-01,실험경제학,0.10 : 1,쿼터없음,0.10 : 1,0.03 : 1,0.07 : 1
ECO4034-01,금융시장행태주의(behavioral)분석(캡스톤),0.67 : 1,쿼터없음,쿼터없음,0.40 : 1,0.54 : 1
ECOG010-01,고급미시경제학I,0.20 : 1,쿼터없음,쿼터없음,0.10 : 1,0.16 : 1
ECOG020-01,고급거시경제학I,0.25 : 1,쿼터없음,쿼터없음,신청없음,0.25 : 1
ECOG030-01,고급계량경제학I,0.35 : 1,쿼터없음,쿼터없음,0.30 : 1,0.24 : 1
ECOG040-01,고급수리통계학,0.20 : 1,쿼터없음,쿼터없음,0.10 : 1,0.16 : 1
EDU2001-01,교육학개론,1.10 : 1,1.67 : 1,1.29 : 1,1.10 : 1,0.80 : 1
EDU2002-01,교육철학및교육사,1.20 : 1,1.60 : 1,1.00 : 1,1.60 : 1,0.80 : 1
EDU2003-01,교육심리,0.38 : 1,신청없음,0.27 : 1,0.31 : 1,0.15 : 1
EDU2004-01,교육방법및교육공학,0.20 : 1,신청없음,0.13 : 1,0.24 : 1,0.02 : 1
EDU3001-01,교육과정,0.33 : 1,신청없음,신청없음,0.37 : 1,0.12 : 1
EDU3033-01,교육사회,0.54 : 1,신청없음,0.40 : 1,0.47 : 1,0.20 : 1
EDU3035-01,교육봉사활동,0.03 : 1,쿼터없음,쿼터없음,0.02 : 1,0.03 : 1
EDU3037-01,생활지도및상담,0.47 : 1,쿼터없음,1.00 : 1,0.50 : 1,0.20 : 1
EDU3039-01,교육연구법,0.03 : 1,신청없음,신청없음,신청없음,0.03 : 1
EDU3045-01,특수교육학개론,0.23 : 1,신청없음,신청없음,0.14 : 1,0.16 : 1
EDUF981-01,외국어교과교육론,0.20 : 1,쿼터없음,신청없음,0.20 : 1,0.09 : 1
EDUF983-01,외국어교과교재연구및지도법,0.32 : 1,쿼터없음,0.20 : 1,0.21 : 1,0.19 : 1
EDUS982-01,과학교과논리및논술,0.10 : 1,쿼터없음,0.05 : 1,0.08 : 1,0.04 : 1
EDUS983-01,과학교과교재연구및지도,0.05 : 1,쿼터없음,신청없음,신청없음,0.05 : 1
EEE1002-01,C언어기초,0.79 : 1,0.56 : 1,0.64 : 1,0.38 : 1,0.13 : 1
EEE1002-02,C언어기초,0.68 : 1,0.68 : 1,0.18 : 1,0.25 : 1,0.08 : 1
EEE1002-03,C언어기초,0.65 : 1,0.32 : 1,0.35 : 1,0.19 : 1,0.25 : 1
EEE1002-04,C언어기초,0.41 : 1,0.24 : 1,0.36 : 1,신청없음,신청없음
EEE2011-01,전자공학세미나I,0.40 : 1,쿼터없음,0.07 : 1,0.14 : 1,0.27 : 1
EEE2052-01,디지털논리회로실험,1.45 : 1,쿼터없음,1.26 : 1,3.00 : 1,2.00 : 1
EEE2052-02,디지털논리회로실험,1.36 : 1,쿼터없음,1.16 : 1,4.00 : 1,신청없음
EEE2052-03,디지털논리회로실험,0.36 : 1,쿼터없음,0.26 : 1,0.13 : 1,0.07 : 1
EEE2052-04,디지털논리회로실험,0.77 : 1,쿼터없음,0.53 : 1,0.55 : 1,0.17 : 1
EEE2052-05,디지털논리회로실험,0.77 : 1,쿼터없음,0.74 : 1,0.29 : 1,0.17 : 1
EEE2102-01,전자장론II,0.20 : 1,쿼터없음,0.17 : 1,0.11 : 1,0.04 : 1
EEE2104-01,고급공학수학II,0.77 : 1,쿼터없음,0.67 : 1,0.50 : 1,0.15 : 1
EEE2104-02,고급공학수학II,0.68 : 1,쿼터없음,0.50 : 1,0.33 : 1,0.25 : 1
EEE2108-01,공학프로그래밍,1.37 : 1,쿼터없음,1.25 : 1,2.80 : 1,0.40 : 1
EEE2108-02,공학프로그래밍,0.83 : 1,쿼터없음,0.80 : 1,0.67 : 1,0.38 : 1
EEE2111-01,기초회로이론,1.01 : 1,0.56 : 1,0.73 : 1,0.76 : 1,1.14 : 1
EEE2111-02,기초회로이론,0.85 : 1,0.76 : 1,0.44 : 1,0.20 : 1,쿼터없음
EEE2120-01,물리전자공학I,0.74 : 1,쿼터없음,0.62 : 1,0.40 : 1,0.19 : 1
EEE2120-02,물리전자공학I,0.75 : 1,쿼터없음,0.55 : 1,0.41 : 1,0.29 : 1
EEE2153-01,신호및시스템,0.86 : 1,쿼터없음,0.59 : 1,0.62 : 1,0.40 : 1
EEE2153-02,신호및시스템,0.49 : 1,쿼터없음,0.40 : 1,0.17 : 1,0.10 : 1
EEE3132-01,전자회로II,0.53 : 1,쿼터없음,쿼터없음,0.42 : 1,0.22 : 1
EEE3142-01,기계학습기초,0.88 : 1,쿼터없음,쿼터없음,0.65 : 1,0.71 : 1
EEE3146-01,반도체공학I,0.71 : 1,쿼터없음,쿼터없음,0.56 : 1,0.40 : 1
EEE3149-01,디지털통신,0.66 : 1,쿼터없음,쿼터없음,0.55 : 1,0.33 : 1
EEE3163-01,고급디지털회로설계,0.58 : 1,쿼터없음,0.20 : 1,0.54 : 1,0.23 : 1
EEE3178-01,컴퓨터아키텍쳐,0.48 : 1,쿼터없음,쿼터없음,0.39 : 1,0.21 : 1
EEE3182-01,고급전자회로실험,0.58 : 1,쿼터없음,쿼터없음,0.45 : 1,0.29 : 1
EEE3182-02,고급전자회로실험,0.63 : 1,쿼터없음,쿼터없음,0.45 : 1,0.36 : 1
EEE3182-03,고급전자회로실험,0.71 : 1,쿼터없음,쿼터없음,0.45 : 1,0.50 : 1
EEE3182-04,고급전자회로실험,0.96 : 1,쿼터없음,쿼터없음,0.86 : 1,0.80 : 1
EEE3182-05,고급전자회로실험,1.33 : 1,쿼터없음,쿼터없음,1.05 : 1,4.50 : 1
EEE4125-01,광전자공학,0.63 : 1,쿼터없음,쿼터없음,쿼터없음,0.63 : 1
EEE4159-01,이동통신공학,0.34 : 1,쿼터없음,쿼터없음,0.40 : 1,0.30 : 1
EEE4161-01,인터넷통신망,0.50 : 1,쿼터없음,쿼터없음,쿼터없음,0.50 : 1
EEE4168-01,마이크로프로세서시스템설계,0.18 : 1,쿼터없음,쿼터없음,쿼터없음,0.18 : 1
EEE4169-01,VLSI시스템설계,0.72 : 1,쿼터없음,쿼터없음,쿼터없음,0.72 : 1
