과목코드-분반,과목명,2016_1_1학년,2016_1_2학년,2016_1_3학년,2016_1_4학년,2016_2_1학년,2016_2_2학년,2016_2_3학년,2016_2_4학년,2017_1_1학년,2017_1_2학년,2017_1_3학년,2017_1_4학년,2017_2_1학년,2017_2_2학년,2017_2_3학년,2017_2_4학년,2018_1_1학년,2018_1_2학년,2018_1_3학년,2018_1_4학년,2018_2_1학년,2018_2_2학년,2018_2_3학년,2018_2_4학년,2019_1_1학년,2019_1_2학년,2019_1_3학년,2019_1_4학년,2019_2_1학년,2019_2_2학년,2019_2_3학년,2019_2_4학년,2020_1_1학년,2020_1_2학년,2020_1_3학년,2020_1_4학년,2020_2_1학년,2020_2_2학년,2020_2_3학년,2020_2_4학년,2021_1_1학년,2021_1_2학년,2021_1_3학년,2021_1_4학년
COR1007-05,성찰과성장1,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.01,1 : 0.25,1 : 0.33,신청없음,,,,,0.03 : 1,0.67 : 1,0.13 : 1,0.06 : 1,,,,,,,,
COR1007-06,성찰과성장1,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.05,신청없음,1 : 0.14,신청없음,,,,,0.01 : 1,신청없음,신청없음,신청없음,,,,,,,,
COR1007-09,성찰과성장1,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.50,신청없음,신청없음,,,,,0.02 : 1,0.06 : 1,0.05 : 1,신청없음,,,,,,,,
COR1007-10,성찰과성장1,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.25,1 : 0.17,신청없음,,,,,,,,,,,,,,,,
COR1007-11,성찰과성장1,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,신청없음,1 : 0.14,신청없음,,,,,,,,,,,,,,,,
COR1007-18,성찰과성장1,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,신청없음,신청없음,1 : 0.10,,,,,0.02 : 1,신청없음,신청없음,신청없음,,,,,,,,
COR1007-20,성찰과성장1,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.50,신청없음,신청없음,,,,,신청없음,0.06 : 1,신청없음,신청없음,,,,,,,,
COR1012-01,인문사회글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.50,1 : 0.33,신청없음,1 : 0.64,1 : 0.36,신청없음,1 : 0.10,신청없음,0.50 : 1,신청없음,0.50 : 1,1.12 : 1,1.00 : 1,0.50 : 1,신청없음,,,,
COR1012-02,인문사회글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,신청없음,1 : 0.50,신청없음,1 : 0.25,1 : 2.88,1 : 1.50,1 : 1.50,신청없음,신청없음,신청없음,신청없음,0.20 : 1,0.84 : 1,0.83 : 1,1.00 : 1,2.00 : 1,신청없음,0.50 : 1,신청없음,신청없음
COR1012-03,인문사회글쓰기,,,,,,,,,,,,,,,,,,,,,,,,,1 : 0.04,1 : 1.00,신청없음,1 : 0.67,1 : 0.36,1 : 0.06,1 : 0.16,신청없음,0.03 : 1,0.50 : 1,신청없음,신청없음,3.44 : 1,6.00 : 1,1.00 : 1,4.00 : 1,신청없음,0.50 : 1,신청없음,신청없음
