과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
ZKAP002-06,학문을위한한국어 II,손정란,3,"수,금 15:00~16:15 [AR813]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP002-07,학문을위한한국어 II,신효원,3,"화,금 15:00~16:15 [AR808]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP002-08,학문을위한한국어 II,신효원,3,"화,금 13:30~14:45 [AR808]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP002-09,학문을위한한국어 II,신효원,3,"수,금 13:30~14:45 [AR808]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP002-10,학문을위한한국어 II,양승희,3,"화,금 13:30~14:45 [AR813]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP002-11,학문을위한한국어 II,양승희,3,"월,금 16:30~17:45 [AR813]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP002-12,학문을위한한국어 II,양승희,3,"수,금 15:00~16:15 [AR809]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP002-13,학문을위한한국어 II,오승은,3,"화,금 15:00~16:15 [AR904]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP002-14,학문을위한한국어 II,오승은,3,"화,금 13:30~14:45 [AR904]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP002-15,학문을위한한국어 II,오승은,3,"화,목 16:30~17:45 [AR905]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP002-16,학문을위한한국어 II,옥혜정,3,"수,금 15:00~16:15 [AR611]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
ZKAP002-17,학문을위한한국어 II,옥혜정,3,"화,목 16:30~17:45 [AR611]",1-4학년,,0,국제학생 대상 소규모 한국어 집중 대상 강의(수강승인)
