소속,과목코드,과목명,교수명,학점,수업요일,수업시간,강의실,권장학년,교수특징,경쟁점수,꿀점수,배움점수
인공지능,CBE2012-01,화공수학2,이종석,3,수금,15:00~16:15,없음,14,없음,알수없음,0,0
인공지능,CBE2012-02,화공수학2,최진훈,3,화목,12:00~13:15,없음,14,없음,알수없음,1,0
인공지능,CSE3006-01,이산구조,장형수,3,수금,09:00~10:15,RA406B,1,꼰대,알수없음,0,0
인공지능,CSE3006-02,이산구조,최명환,3,화목,13:30~14:45,K401,1,없음,알수없음,0,0
인공지능,CSE3006-02,이산구조,장형수,3,수금,09:00~10:15,K202,1,꼰대,알수없음,0,0
빅데이터사이언스,STS2011-01,기초빅데이터프로그래밍,서경희,3,월수,12:00~13:15,AS107,24,도도천사,2.016,0,0
인공지능,STS2011-02,기초빅데이터프로그래밍,서경희,3,화목,12:00~13:15,AS107,24,도도천사,2.016,0,0
인공지능,STS2011-01,기초빅데이터프로그래밍,서경희,3,월수,12:00~13:15,AS107,24,도도천사,2.016,0,0
인공지능,CSW4020-01,정보처리및자연언어처리,홍정하,3,화목,12:00~13:15,AS305,24,도도,알수없음,0,1
인공지능,MATG110-01,고급선형대수학,박진형,3,화목,09:00~10:15,RA310,4,없음,알수없음,0,0
인공지능,MATG110-01,고급선형대수학,김종락,3,화목,12:00~13:15,없음,4,없음,알수없음,0,1
인공지능,CSW2050-01,코퍼스언어학,홍정하,3,화목,12:00~13:15,K306,24,도도,알수없음,0,0
