소속,과목코드,과목명,교수명,학점,수업요일,수업시간,강의실_x,권장학년,교수특징,경쟁점수,꿀점수,배움점수
경제학전공,ECO2003-01,경제수리기초,이강오,3,[화목],09:00~10:15,GN202,['1'],['월급루팡'],,16.198154901960788,8.568029411764714
경제학전공,ECO2003-02,경제수리기초,이강오,3,[화목],12:00~13:15,GN202,['1'],['월급루팡'],,16.198154901960788,8.568029411764714
경제학전공,ECO2004-01,경제통계학,주하연,3,[수금],13:30~14:45,GN202,['1'],['시크'],,13.560988235294118,6.860235294117647
경제학전공,ECO2004-02,경제통계학,사공용,3,[화목],09:00~10:15,GN201,['1'],"['귀요미', '열정러']",1.867202327586207,21.983170129870132,19.04286363636365
경제학전공,ECO2004-03,경제통계학,사공용,3,[화목],13:30~14:45,GN202,['1'],"['귀요미', '열정러']",1.867202327586207,21.983170129870132,19.04286363636365
경제학전공,ECO2006-01,미시경제학I,Iris Haydar Doruk,3,[수금],09:00~10:15,GN102,['2'],[],,20.8258,8.532333333333336
경제학전공,ECO2006-02,미시경제학I,전성훈,3,[수금],13:30~14:45,GN301,['2'],[],,13.426666666666666,6.066666666666667
경제학전공,ECO2006-03,미시경제학I,주하연,3,[수금],15:00~16:15,GN202,['2'],['시크'],,18.784694117647053,6.740529411764706
경제학전공,ECO2006-04,미시경제학I,김도영,3,[화목],12:00~13:15,GN301,['2'],[],2.0492018181818183,11.685046153846153,16.375999999999998
경제학전공,ECOG010-01,고급미시경제학I,Iris Haydar Doruk,3,[수금],13:30~14:45,GN304,['4'],[],,17.17,13.65
경제학전공,ECO2007-01,거시경제학I,조장옥,3,[월수],10:30~11:45,GN201,['2'],[],,13.533333333333335,6.933333333333334
경제학전공,ECO2007-02,거시경제학I,이윤수,3,[월수],12:00~13:15,GN202,['2'],[],1.946118309859155,19.858272727272727,7.16863636363636
경제학전공,ECO2007-03,거시경제학I,곽노선,3,[화목],10:30~11:45,GN202,['2'],['귀요미'],,11.000000000000005,12.0
경제학전공,ECOG020-01,고급거시경제학I,남주하,3,[수금],15:00~16:15,GN304,['4'],[],0.24142857142857144,,
경제학전공,ECO2008-01,수리경제학,김영철,3,[월수],12:00~13:15,GN301,['2'],[],1.3773347747747748,17.868799999999997,18.76114285714285
