소속,과목코드,과목명,교수명,학점,수업요일,수업시간,강의실,권장학년,교수특징,경쟁점수,꿀점수,배움점수
경영학,MGT3003-02,생산관리론,김민균,3,월수,16:30~17:45,없음,24,없음,2.89,0,0
경영학,MGT3003-03,생산관리론,이준겸,3,화목,12:00~13:15,없음,24,귀염,1.368,0,0
경영학,MGT3006-02,마케팅원론,박경도,3,월수,12:00~13:15,없음,23,없음,0.593,0,0
경영학,MGT3006-04,마케팅원론,김주영,3,월수,10:30~11:45,MA102,23,없음,2.192,0,0
경영학,MGT3006-05,마케팅원론,박혜경,3,화목,12:00~13:15,없음,23,없음,알수없음,0,0
경영학,MGT3007-06,국제경영론,이철,3,수금,15:00~16:15,없음,24,없음,3.279,0,0
경영학,MGT3007-05,국제경영론(중국어강의),Juan,3,월,13:30~16:15,없음,24,없음,알수없음,0,0
경영학,MGT4203-02,경영과학,이윤동,3,수금,13:30~14:45,없음,24,귀염,알수없음,0,0
경영학,MGT4203-03,경영과학,김범수,3,월수,10:30~11:45,없음,24,없음,2.168,0,0
경영학,MGT4221-01,경영과정보기술,신지아,3,월수,12:00~13:15,없음,24,없음,알수없음,0,0
경영학,MGT4224-01,전자상거래개론,오혜림,3,화목,16:30~17:45,없음,24,없음,알수없음,0,0
인공지능,AIC4012-01,AI기반기술경영및정책,문성욱 외 3명,3,월,13:30~16:15,없음,34,없음,알수없음,1,1
경영학,MGT4303-02,파생상품론,원재환,3,월수,12:00~13:15,없음,24,없음,알수없음,0,0
경영학,MGT4401-02,중급회계1,박두리,3,화목,15:00~16:15,없음,24,없음,알수없음,0,0
경영학,MGT4406-01,세무회계,정우승,3,월,16:30~19:15,없음,24,없음,알수없음,0,0
경영학,MGT4717-01,"지식,인성그리고경영(심화)",홍광헌 외 2명,3,금,13:30~17:30,PA101,24,없음,알수없음,0,0
국어국문학,KOR2001-01,국어학입문,이지영,3,화목,12:00~13:15,없음,12,없음,알수없음,0,0
국어국문학,KOR2200-01,국문학개설,이채은,3,월수,10:30~11:45,K402,12,없음,알수없음,0,0
국어국문학,KOR2201-01,문학이란무엇인가,김경수,3,화목,15:00~16:15,J107,12,없음,알수없음,0,0
국어국문학,KOR3020-01,국어어휘론,황화상,3,월수,10:30~11:45,없음,24,없음,알수없음,0,0
국어국문학,KOR3307-01,고전소설론,이정원,3,화목,10:30~11:45,없음,24,없음,알수없음,0,0
국어국문학,KOR3407-01,희곡과공연,이상란,3,수,15:00~17:45,없음,24,없음,알수없음,0,1
국어국문학,KOR3412-01,문학비평과수사학,우찬제,3,수금,15:00~16:15,없음,24,없음,알수없음,0,0
국어국문학,KOR4400-01,현대문학연습,우찬제,3,수금,13:30~14:45,없음,34,없음,알수없음,0,0
국어국문학,KOR4500-01,국어와생활,차준경,3,화목,13:30~14:45,없음,34,없음,알수없음,0,0
국어국문학,KORG001-01,국어학연구방법론,김한별,3,화목,15:00~16:15,없음,34,귀염도도천사,알수없음,0,0
국어국문학,KORQ982-01,국어교과논리및논술,주세형,3,화목,12:00~13:15,없음,24,없음,알수없음,0,0
국어국문학,KORQ983-01,국어교과교재연구및지도법,주세형,3,화목,13:30~14:45,없음,24,없음,알수없음,0,0
화학,CHM1001-01,일반화학1,옥강민,3,월수,10:30~11:45,없음,1,없음,1.968,0,0
화학,CHM1002-01,일반화학2,권용석,3,화목,09:00~10:15,J102,1,없음,알수없음,0,1
화학,CHM1002-02,일반화학2,이덕형,3,월수,10:30~11:45,없음,1,꼰대,알수없음,0,0
화학,CHM1002-03,일반화학2,이덕형,3,월수,12:00~13:15,없음,1,꼰대,알수없음,0,0
화학,CHM1002-04,일반화학2,이현수,3,수금,09:00~10:15,없음,1,없음,알수없음,0,0
화학,CHM1002-05,일반화학2,허남회,3,화목,13:30~14:45,없음,1,없음,알수없음,0,0
화학,CHM1052-01,일반화학실험2,오한빈,1,월,13:30~16:15,R114,1,없음,알수없음,0,0
화학,CHM1052-02,일반화학실험2,조규봉,1,월,13:30~16:15,R112,1,없음,알수없음,0,0
화학,CHM1052-03,일반화학실험2,오한빈,1,월,16:30~19:15,R114,1,없음,알수없음,0,0
